mpg,cylinders,horsepower,weight,acceleration,model-year,displacement
18,8,130,3504,12,70,307
15,8,165,3693,11.5,70,350
18,8,150,3436,11,70,318
16,8,150,3433,12,70,304
17,8,140,3449,10.5,70,302
15,8,198,4341,10,70,429
14,8,220,4354,9,70,454
14,8,215,4312,8.5,70,440
14,8,225,4425,10,70,455
15,8,190,3850,8.5,70,390
15,8,170,3563,10,70,383
14,8,160,3609,8,70,340
15,8,150,3761,9.5,70,400
14,8,225,3086,10,70,455
24,4,95,2372,15,70,113
22,6,95,2833,15.5,70,198
18,6,97,2774,15.5,70,199
21,6,85,2587,16,70,200
27,4,88,2130,14.5,70,97
26,4,46,1835,20.5,70,97
25,4,87,2672,17.5,70,110
24,4,90,2430,14.5,70,107
25,4,95,2375,17.5,70,104
26,4,113,2234,12.5,70,121
21,6,90,2648,15,70,199
10,8,215,4615,14,70,360
10,8,200,4376,15,70,307
11,8,210,4382,13.5,70,318
9,8,193,4732,18.5,70,304
27,4,88,2130,14.5,71,97
28,4,90,2264,15.5,71,140
25,4,95,2228,14,71,113
25,4,104.1894,2046,19,71,98
19,6,100,2634,13,71,232
16,6,105,3439,15.5,71,225
17,6,100,3329,15.5,71,250
19,6,88,3302,15.5,71,250
18,6,100,3288,15.5,71,232
14,8,165,4209,12,71,350
14,8,175,4464,11.5,71,400
14,8,153,4154,13.5,71,351
14,8,150,4096,13,71,318
12,8,180,4955,11.5,71,383
13,8,170,4746,12,71,400
13,8,175,5140,12,71,400
18,6,110,2962,13.5,71,258
22,4,72,2408,19,71,140
19,6,100,3282,15,71,250
18,6,88,3139,14.5,71,250
23,4,86,2220,14,71,122
28,4,90,2123,14,71,116
30,4,70,2074,19.5,71,79
30,4,76,2065,14.5,71,88
31,4,65,1773,19,71,71
35,4,69,1613,18,71,72
27,4,60,1834,19,71,97
26,4,70,1955,20.5,71,91
24,4,95,2278,15.5,72,113
25,4,80,2126,17,72,97.5
23,4,54,2254,23.5,72,97
20,4,90,2408,19.5,72,140
