relative_humidity,temperature,exhaust_vacuum,ambient_pressure
73.17,14.96,41.76,1024.07
59.08,25.18,62.96,1020.04
92.14,5.11,39.4,1012.16
76.64,20.86,57.32,1010.24
96.62,10.82,37.5,1009.23
58.77,26.27,59.44,1012.23
75.24,15.89,43.96,1014.02
66.43,9.48,44.71,1019.12
41.25,14.64,45,1021.78
70.72,11.74,43.56,1015.14
75.04,17.99,43.72,1008.64
64.22,20.14,46.93,1014.66
84.15,24.34,73.5,1011.31
61.83,25.71,58.59,1012.77
87.59,26.19,69.34,1009.48
43.08,21.42,43.79,1015.76
48.84,18.21,45,1022.86
77.51,11.04,41.74,1022.6
63.59,14.45,52.75,1023.97
55.28,13.97,38.47,1015.15
66.26,17.76,42.42,1009.09
64.77,5.41,40.07,1019.16
83.31,7.76,42.28,1008.52
47.19,27.23,63.9,1014.3
54.93,27.36,48.6,1003.18
74.62,27.47,70.72,1009.97
72.52,14.6,39.31,1011.11
88.44,7.91,39.96,1023.57
92.28,5.81,35.79,1012.14
41.85,30.53,65.18,1012.69
44.28,23.87,63.94,1019.02
64.58,26.09,58.41,1013.64
63.25,29.27,66.85,1011.11
78.61,27.38,74.16,1010.08
44.51,24.81,63.94,1018.76
89.46,12.75,44.03,1007.29
74.52,24.66,63.73,1011.4
88.86,16.38,47.45,1010.08
75.51,13.91,39.35,1014.69
78.64,23.18,51.3,1012.04
76.65,22.47,47.45,1007.62
80.44,13.39,44.85,1017.24
79.89,9.28,41.54,1018.33
88.28,11.82,42.86,1014.12
84.6,10.27,40.64,1020.63
42.69,22.92,63.94,1019.28
78.41,16,37.87,1020.24
61.07,21.22,43.43,1010.96
50,13.46,44.71,1014.51
77.29,9.39,40.11,1029.14
43.66,31.07,73.5,1010.58
83.8,12.82,38.62,1018.71
66.47,32.57,78.92,1011.6
93.09,8.11,42.18,1014.82
80.52,13.92,39.39,1012.94
68.99,23.04,59.43,1010.23
57.27,27.31,64.44,1014.65
95.53,5.91,39.33,1010.18
71.72,25.26,61.08,1013.68
57.88,27.97,58.84,1002.25
63.34,26.08,52.3,1007.03
48.07,29.01,65.71,1013.61
91.87,12.18,40.1,1016.67
87.27,13.76,45.87,1008.89
64.4,25.5,58.79,1016.02
43.4,28.26,65.34,1014.56
72.24,21.39,62.96,1019.49
90.22,7.26,40.69,1020.43
74,10.54,34.03,1018.71
71.85,27.71,74.34,998.14
86.62,23.11,68.3,1017.83
97.41,7.51,41.01,1024.61
84.44,26.46,74.67,1016.65
81.55,29.34,74.34,998.58
75.66,10.32,42.28,1008.82
79.41,22.74,61.02,1009.56
58.91,13.48,39.85,1012.71
90.06,25.52,69.75,1010.36
79,21.58,67.25,1017.39
69.47,27.66,76.86,1001.31
51.47,26.96,69.45,1013.89
83.13,12.29,42.18,1016.53
40.33,15.86,43.02,1012.18
81.69,13.87,45.08,1024.42
94.55,24.09,73.68,1014.93
91.81,20.45,69.45,1012.53
63.62,15.07,39.3,1019
49.35,32.72,69.75,1009.6
69.61,18.23,58.96,1015.55
38.75,35.56,68.94,1006.56
90.17,18.36,51.43,1010.57
81.24,26.35,64.05,1009.81
48.46,25.92,60.95,1014.62
76.72,8.01,41.66,1014.49
51.16,19.63,52.72,1025.09
