Aggregate Followers,Year,Ratings,Genre,Gross,Budget,Screens,Sequel,Sentiment,Views,Likes,Dislikes,Comments
1120000,2014,6.3,8,9130,4000000,45,1,0,3280543,4632,425,636
12350000,2014,7.1,1,192000000,50000000,3306,2,2,583289,3465,61,186
483000,2014,6.2,1,30700000,28000000,2872,1,0,304861,328,34,47
568000,2014,6.3,1,106000000,110000000,3470,2,0,452917,2429,132,590
1923800,2014,4.7,8,17300000,3500000,2310,2,0,3145573,12163,610,1082
310000,2014,4.6,3,29000,500000,,1,0,91137,112,7,1
8153000,2014,6.1,8,42600000,40000000,3158,1,0,3013011,9595,419,1020
130655,2014,7.1,1,5750000,20000000,818,1,2,1854103,2207,197,593
125646,2014,6.5,10,26000000,28000000,2714,1,3,2213659,2210,419,382
21697300,2014,6.1,8,48600000,12500000,2253,1,0,5218079,11709,532,770
24300,2014,7.3,1,350000000,58800000,3555,1,4,3927600,13143,573,3134
386400,2014,5.7,8,15200000,30000000,1762,1,0,519327,963,94,70
19420105,2014,5.4,15,84300000,6500000,3185,1,0,19032902,38810,4382,4392
5130800,2014,5.2,8,85900000,65000000,3116,1,0,930006,5150,707,1484
15112,2014,4.4,3,830000,5000000,65,3,0,595194,85,36,39
253000,2014,6.6,8,11800,6000000,18,1,2,3915978,6983,247,460
1658900,2014,6.3,8,72300,5000000,25,1,0,1391527,2479,146,182
116100,2014,6.9,3,14600000,7000000,31,1,0,1828235,7633,235,685
199800,2014,7.9,12,222000000,165000000,3761,1,29,4700023,14163,538,1293
888000,2014,6.6,3,21600000,9000000,1823,1,-1,1348142,4404,307,1033
2417000,2014,6.5,8,46300000,40000000,3555,1,-2,7977747,18690,1940,2214
105000,2014,8,3,25400000,4000000,771,1,9,1671367,4572,207,741
3209000,2014,5.7,1,20300000,28000000,2647,1,0,2088644,6633,255,1235
4769100,2014,6.5,3,1870000,7000000,482,1,2,4398243,9202,454,1150
2182,2014,7,3,9840,1000000,,1,3,7128,1,0,0
,2014,6.7,9,6370000,3000000,382,1,3,2902492,9522,558,2296
8030000,2014,7.8,1,260000000,170000000,3938,2,5,760262,2918,66,837
114000,2014,7.7,1,209000000,170000000,3967,2,-4,1735700,6772,187,889
744600,2014,6.2,10,30500000,30000000,97,1,0,465219,1348,72,162
9536,2014,4,15,15800000,7000000,2544,1,0,1844690,3728,581,729
1030000,2014,6.8,2,151000000,85000000,3936,1,-4,463866,3400,152,987
276750,2014,6.4,3,42000000,36000000,3376,2,-1,384448,1230,129,228
395500,2014,6.3,1,55900000,70000000,,1,0,9149892,26427,1342,5278
147000,2014,6.8,3,28800000,27000000,2781,1,0,522630,1248,153,227
17064000,2014,5.8,8,86200000,35000000,3154,3,0,3287020,7698,446,1122
88586,2014,5.8,2,38900000,13000000,3230,1,0,1488038,2571,553,643
5610000,2014,7.9,1,100000000,178000000,3490,1,0,15568277,29251,1730,6439
21500,2014,6.3,3,23400000,20000000,2800,1,1,11850723,24226,1343,2577
1060000,2014,5.7,1,8690,4500000,,1,0,735551,636,98,92
13720000,2014,7.1,9,1210000,24000000,66,1,6,6685088,8369,467,1580
1888000,2014,7.6,1,85700000,68000000,3313,1,3,2276605,3946,331,1286
66600,2014,6.4,3,102000,1850000,8,1,-4,1034480,6490,181,374
412000,2014,5,3,60800000,2000000,780,1,0,456564,1706,413,890
,2014,6.1,10,104000,1000000,3,1,0,99427,47,10,12
1870000,2014,6.5,1,201000000,160000000,3952,1,2,1156609,2968,112,547
20640000,2014,8.2,3,168000000,61000000,3014,1,-11,396010,1390,58,342
2750000,2014,8.1,1,333000000,170000000,4080,1,0,1313548,8567,269,1285
5887700,2014,5.6,8,30100,70000,9,1,0,924347,1406,107,132
,2014,5.8,3,91400000,12000000,2417,1,-9,175017,461,34,133
9414000,2014,6.1,1,72700000,100000000,3595,1,-2,9324678,15479,1130,3925
1650000,2014,6.3,8,54400000,42000000,93,2,-1,1292235,5284,124,362
671000,2014,7.9,12,177000000,145000000,4253,2,3,11472161,22779,862,2863
1800000,2014,6.8,3,50500000,11000000,1272,1,14,9222933,41728,924,3609
58900,2014,6.1,3,275000,8932779.93,6,1,0,8210,6,0,0
,2014,6.7,8,8090000,20000000,645,1,1,1167941,2651,82,797
1865000,2014,8.7,2,188000000,165000000,3561,1,2,5421705,16635,751,4316
301000,2014,5.8,1,47600000,50000000,3434,1,0,4270410,8886,569,3058
4720000,2014,6,2,128000000,50000000,2440,1,-4,817242,4391,112,346
,2014,6.9,15,14700000,2000000,4,1,-9,4877,6,1,1
147000,2014,6.2,1,50500000,60000000,3387,5,4,3320754,4322,347,1105
27323,2014,6.9,9,47000000,40000000,2905,1,10,1438350,4028,133,543
,2014,7.2,1,43000000,20000000,2589,1,0,4846645,14722,405,2732
1045200,2014,7,9,2450000,5000000,374,1,0,3650720,6917,234,1119
5407000,2014,7.8,1,128000000,81000000,3204,1,0,2767873,46023,944,6946
,2014,6.5,1,129000,25000000,28,1,-2,289922,143,17,9
116800,2014,3.1,1,14000000,16000000,1825,1,0,5611593,11187,2111,7595
2356000,2014,6.5,8,82400000,17000000,1534,1,-5,4450824,7315,546,909
1463000,2014,5.7,8,8300,2400000,,1,0,1222921,5553,193,335
18100,2014,4.8,7,2470,300000,3,1,0,30529,18,4,2
,2014,6.4,1,127000000,40000000,3173,1,1,1142964,2346,167,311
5633,2014,7,1,241000000,180000000,3948,1,0,557012,3528,135,464
644000,2014,6.3,8,348000,15000000,66,1,0,177465,595,39,71
130000,2014,7.1,9,36400000,25000000,3019,1,27,1470438,4314,168,511
919000,2014,5.4,8,10400000,5000000,1044,1,0,667852,469,38,44
8839043,2014,6.9,12,112000000,145000000,3934,1,13,277848,890,45,88
9850000,2014,6.5,2,51200000,50000000,3194,3,-1,3037329,6696,564,1061
,2014,6.3,8,4010000,5000000,255,1,0,446576,659,50,45
2594000,2014,6.6,1,43600000,66000000,3115,1,5,1451649,7342,533,2305
14240000,2014,6.4,8,150000000,18000000,3279,1,2,2554307,8722,298,693
6480000,2014,6.3,2,114000000,127000000,22,3,2,3779254,13535,362,1221
,2014,7.9,10,32300000,8500000,2766,1,-1,6082510,12522,543,2170
1550500,2014,5.6,10,52500000,13200000,2130,1,0,608230,895,118,387
1810000,2014,5.9,1,101000000,125000000,3567,1,6,13661095,41254,3812,18077
648786,2014,7,1,91400000,50000000,3090,1,0,367551,700,19,37
2720000,2014,5.2,8,35700,600000,,1,0,5403836,187162,3145,24919
